bootstrap_index,density_crossing_radius_interpolated_mpc_h,density_crossing_radius_discrete_mpc_h,crossing_detected
4599,114.08937242608911,116.85229034325097,True
4600,109.26271990128977,111.92819281414471,True
4601,120.46393218728404,121.99301547856197,True
4602,118.02925427117077,121.99301547856197,True
4603,117.69198178226263,121.99301547856197,True
4604,122.11716055061466,127.3598983968242,True
4605,124.46662920160627,127.3598983968242,True
4606,106.33407411101864,107.21159431141558,True
4607,117.56327470208831,121.99301547856197,True
4608,111.71806339595707,111.92819281414471,True
4609,114.27580708487521,116.85229034325097,True
4610,110.41233859305503,111.92819281414471,True
4611,102.17930832647583,102.6937509290598,True
4612,120.42797322418191,121.99301547856197,True
4613,113.6500267789572,116.85229034325097,True
4614,123.64839190260572,127.3598983968242,True
4615,111.77612082479322,111.92819281414471,True
4616,101.0478740266946,102.6937509290598,True
4617,118.59795982399913,121.99301547856197,True
4618,119.31367520067693,121.99301547856197,True
4619,118.84175990514072,121.99301547856197,True
4620,101.87217892830847,102.6937509290598,True
4621,106.98120743433344,107.21159431141558,True
4622,109.57390490278743,111.92819281414471,True
4623,115.43793721132846,116.85229034325097,True
4624,123.60082430151043,127.3598983968242,True
4625,111.82908377687947,111.92819281414471,True
4626,112.5227038939036,116.85229034325097,True
4627,120.79418874479752,121.99301547856197,True
4628,117.25289617277252,121.99301547856197,True
4629,127.06498457786343,127.3598983968242,True
4630,109.70116794821622,111.92819281414471,True
4631,111.0892392721994,111.92819281414471,True
4632,123.92421125630308,127.3598983968242,True
4633,105.37129928900286,107.21159431141558,True
4634,120.27949612720937,121.99301547856197,True
4635,125.67127823586836,127.3598983968242,True
4636,111.10327800613474,111.92819281414471,True
4637,113.77923620039415,116.85229034325097,True
4638,117.0158429625309,121.99301547856197,True
4639,110.9978262354041,111.92819281414471,True
4640,118.22203107197308,121.99301547856197,True
4641,112.21770874377088,116.85229034325097,True
4642,122.75254747988926,127.3598983968242,True
4643,116.97962264161849,121.99301547856197,True
4644,110.91460946651478,111.92819281414471,True
4645,111.11877743343787,111.92819281414471,True
4646,104.02685411617797,107.21159431141558,True
4647,114.8987139444722,116.85229034325097,True
4648,104.17970932782872,107.21159431141558,True
4649,108.59878868100289,111.92819281414471,True
4650,111.50805928090115,111.92819281414471,True
4651,121.23400534534123,121.99301547856197,True
4652,108.74826662218206,111.92819281414471,True
4653,123.93281240439089,127.3598983968242,True
4654,123.56878960533298,127.3598983968242,True
4655,111.67595570308599,111.92819281414471,True
4656,105.33718681923277,107.21159431141558,True
4657,114.34409421957044,116.85229034325097,True
4658,107.3036210877133,111.92819281414471,True
4659,115.74972605863337,116.85229034325097,True
4660,109.63303728046782,111.92819281414471,True
4661,119.72557442945146,121.99301547856197,True
4662,120.16828676308535,121.99301547856197,True
4663,117.75303077871366,121.99301547856197,True
4664,122.54054600816711,127.3598983968242,True
4665,117.2666901897994,121.99301547856197,True
4666,120.50559265702238,121.99301547856197,True
4667,111.4066967841743,111.92819281414471,True
4668,114.61446975710422,116.85229034325097,True
4669,111.8773971919971,111.92819281414471,True
4670,102.02326406835894,102.6937509290598,True
4671,108.90641179149186,111.92819281414471,True
4672,115.93923211698446,116.85229034325097,True
4673,126.52505637019442,127.3598983968242,True
4674,108.2080584359002,111.92819281414471,True
4675,112.15770738202534,116.85229034325097,True
4676,113.63465878422146,116.85229034325097,True
4677,120.87535804715702,121.99301547856197,True
4678,111.7504869149938,111.92819281414471,True
4679,128.8484685308828,132.96288853930218,True
4680,116.70610793003111,116.85229034325097,True
4681,120.52707643085387,121.99301547856197,True
4682,113.10553496869329,116.85229034325097,True
4683,123.14744224967394,127.3598983968242,True
4684,112.92760295490545,116.85229034325097,True
4685,104.76139185858457,107.21159431141558,True
4686,106.9558009403377,107.21159431141558,True
4687,125.38757030353665,127.3598983968242,True
4688,108.23486340365815,111.92819281414471,True
4689,116.39056572888053,116.85229034325097,True
4690,104.75788261534863,107.21159431141558,True
4691,112.87887115202984,116.85229034325097,True
4692,101.5304529198978,102.6937509290598,True
4693,120.51519206895018,121.99301547856197,True
4694,124.91657087172698,127.3598983968242,True
4695,101.01547428293641,102.6937509290598,True
4696,117.25555995033052,121.99301547856197,True
4697,119.97855950003758,121.99301547856197,True
4698,118.92690021326452,121.99301547856197,True
4699,120.69530964285701,121.99301547856197,True
4700,112.27077589956403,116.85229034325097,True
4701,109.5836523031552,111.92819281414471,True
4702,123.16890583258483,127.3598983968242,True
4703,113.8464855296922,116.85229034325097,True
4704,113.58007360681032,116.85229034325097,True
4705,120.74505892802345,121.99301547856197,True
4706,108.99917163936284,111.92819281414471,True
4707,118.01709766838917,121.99301547856197,True
4708,109.20215970088104,111.92819281414471,True
4709,119.04784404835372,121.99301547856197,True
4710,120.18424063902903,121.99301547856197,True
4711,104.93542051465836,107.21159431141558,True
4712,123.33881479856919,127.3598983968242,True
4713,115.72790526393908,116.85229034325097,True
4714,110.05211293754782,111.92819281414471,True
4715,117.43459347496936,121.99301547856197,True
4716,117.86961766228394,121.99301547856197,True
4717,111.04345799968637,111.92819281414471,True
4718,121.64923211219156,121.99301547856197,True
4719,128.04535647157033,132.96288853930218,True
4720,115.76597172819432,116.85229034325097,True
4721,120.59337823240661,121.99301547856197,True
4722,105.48549264122467,107.21159431141558,True
4723,103.37157335077099,107.21159431141558,True
4724,116.51181405599459,116.85229034325097,True
4725,113.3515333516655,116.85229034325097,True
4726,107.40925043150368,111.92819281414471,True
4727,113.68051209098473,116.85229034325097,True
4728,117.8239666447053,121.99301547856197,True
4729,114.28129669053806,116.85229034325097,True
4730,100.69079801432306,102.6937509290598,True
4731,111.7227415144703,111.92819281414471,True
4732,111.77626249836966,111.92819281414471,True
4733,112.67848994685134,116.85229034325097,True
4734,116.83145270196711,116.85229034325097,True
4735,121.23233402291577,121.99301547856197,True
4736,121.69315351308889,121.99301547856197,True
4737,116.34941678719196,116.85229034325097,True
4738,120.05832314429988,121.99301547856197,True
4739,115.43688924587082,116.85229034325097,True
4740,120.22767407590358,121.99301547856197,True
4741,111.15213079209077,111.92819281414471,True
4742,100.3616710460426,102.6937509290598,True
4743,113.69801621496174,116.85229034325097,True
4744,114.34855692612211,116.85229034325097,True
4745,118.7814789718989,121.99301547856197,True
4746,117.34883085123485,121.99301547856197,True
4747,119.75756645190926,121.99301547856197,True
4748,118.42871537949831,121.99301547856197,True
4749,118.53210270425963,121.99301547856197,True
4750,121.07760318060751,121.99301547856197,True
4751,114.08750357339643,116.85229034325097,True
4752,116.69836250480041,116.85229034325097,True
4753,112.519583237526,116.85229034325097,True
4754,113.24556433722259,116.85229034325097,True
4755,121.42100141104633,121.99301547856197,True
4756,111.04511921070238,111.92819281414471,True
4757,115.61795938466638,116.85229034325097,True
4758,99.94260665870016,102.6937509290598,True
4759,119.4872888140738,121.99301547856197,True
4760,119.18074238923536,121.99301547856197,True
4761,109.57138521737333,111.92819281414471,True
4762,117.14278782570123,121.99301547856197,True
4763,122.85197640194966,127.3598983968242,True
4764,111.07088104289558,111.92819281414471,True
4765,115.52658825151966,116.85229034325097,True
4766,117.85628450882093,121.99301547856197,True
4767,113.2596097785616,116.85229034325097,True
4768,110.86302142448916,111.92819281414471,True
4769,119.6147318673535,121.99301547856197,True
4770,110.90996267227048,111.92819281414471,True
4771,105.31644215452367,107.21159431141558,True
4772,114.62929244422264,116.85229034325097,True
4773,118.78301070747276,121.99301547856197,True
4774,111.85717051557086,111.92819281414471,True
4775,99.33493233188294,102.6937509290598,True
4776,109.8986283461783,111.92819281414471,True
4777,114.93693181038422,116.85229034325097,True
4778,100.06935005270323,102.6937509290598,True
4779,108.7286605307354,111.92819281414471,True
4780,111.46391403412267,111.92819281414471,True
4781,111.42141091078362,111.92819281414471,True
4782,110.24630434841025,111.92819281414471,True
4783,119.16029891255154,121.99301547856197,True
