n2,k_h_mpc,Nmodes,P_raw,W2_at_Rhom,contribution_raw,contribution_clust,fraction_raw
16,0.0041887902047863,6,56508.257146245225,0.3119362069885408,4.896380943814678e-07,4.7230830510432663e-07,0.011153489395023478
22,0.004911791897781,24,21468.067370684363,0.20153034907483092,4.807185679084453e-07,4.3593404589181613e-07,0.010950311078084802
50,0.0074048048969306,84,43800.58982745699,0.026239501765449157,4.4695219881871695e-07,4.2654369744558986e-07,0.010181145353701187
8,0.0029619219587722,12,14124.652342500343,0.5585124949260634,4.3826637887628513e-07,3.7620943499561144e-07,0.009983290648916879
46,0.007102439349736,48,55459.9032455491,0.03511067167240918,4.3271876751956773e-07,4.1711402455405256e-07,0.009856921346477242
54,0.0076952989809711,96,49234.71893446748,0.019609748834287653,4.291024321029573e-07,4.116715442502571e-07,0.009774544670354922
35,0.0061953042615456,48,23790.028365521808,0.07821119274991899,4.1347699867152585e-07,3.787164685604507e-07,0.009418612180481413
3,0.0018137993642342,8,13528.81347084058,0.8037802579547211,4.027478956079091e-07,3.4320861724089276e-07,0.009174213432485034
53,0.0076237132484966,72,57156.73648029522,0.021090793497637768,4.0182697536826857e-07,3.8776644636984345e-07,0.009153235746630203
37,0.0063698540262387,24,51907.80706520817,0.06761252148716394,3.899575245053275e-07,3.749325197304022e-07,0.008882860961980734
49,0.0073303828583761,54,54731.72239123072,0.0282212647338136,3.86149606735129e-07,3.7203897436822214e-07,0.008796120222331621
40,0.006623058843864,24,59016.46745080563,0.054345609961924,3.563651023791184e-07,3.4428830016535756e-07,0.008117657583736384
43,0.0068669335647712,24,68937.77371561878,0.04368192839390259,3.3459276612008e-07,3.2488567092143495e-07,0.007621704502559493
12,0.0036275987284684,8,18228.897293898342,0.41739701630813913,2.8180323485409924e-07,2.5088493734979263e-07,0.0064192092639339966
59,0.0080436770175521,72,60008.352313414114,0.013625975057138215,2.7255743728084766e-07,2.634734539094222e-07,0.00620859880211512
51,0.0074784863624158,48,44365.35758601325,0.0243969028104588,2.4052829270604807e-07,2.2968522479028857e-07,0.005479005397423073
56,0.0078365089056926,48,59116.44367212305,0.016952363438000526,2.2270298628709253e-07,2.1516860253687007e-07,0.005072961896338837
1,0.0010471975511965,6,8193.157114670534,0.9297776698863625,2.1160595919697895e-07,1.5995164420329215e-07,0.004820182189477543
57,0.0079061681325552,48,58460.39409035418,0.015761928976450887,2.047663510194426e-07,1.977610492521311e-07,0.004664382430125415
62,0.0082456417637678,96,40256.52829146781,0.010952289746311475,1.9595607201277364e-07,1.8622070334938565e-07,0.00446369266640878
